student_id;var;sum;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
1301231;2;19;0;1;1;2;1;1;1;1;1;2;0;0;0;1;1;1;1;0;0;3;0;1
1301232;1;14;0;0;1;2;1;0;1;1;2;2;1;0;0;0;0;0;0;0;0;3;nan;0
1301233;2;24;0;1;1;2;1;1;1;0;2;2;0;2;0;1;0;1;2;0;0;2;2;3
1301234;2;16;0;0;0;2;0;1;0;0;2;2;1;2;0;0;1;1;0;0;0;2;2;0
1301235;1;17;1;1;1;1;1;1;1;0;2;1;1;2;1;1;1;1;0;0;0;nan;nan;nan
1301236;1;13;0;1;1;2;1;1;1;1;2;0;0;0;0;0;0;1;2;0;0;nan;nan;nan
1301237;1;13;0;1;1;2;1;1;0;0;2;2;0;2;1;0;0;0;0;0;0;nan;nan;nan
1301238;1;22;1;1;1;2;1;0;1;0;1;0;0;2;1;0;1;1;0;0;0;2;4;3
1301239;2;17;0;1;0;2;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1;2;3;nan
1301240;1;17;0;0;1;2;1;1;0;1;2;0;0;2;1;0;0;1;2;0;0;3;nan;nan
1301241;2;13;0;0;1;2;1;1;1;0;2;0;0;0;1;0;0;0;2;0;0;2;0;nan
1301242;2;12;0;0;1;2;0;1;0;1;0;1;1;2;0;1;0;1;0;0;0;nan;1;nan
