student_id;var;sum;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1301231;2;15;0;1;1;2;1;1;1;1;1;2;0;0;0;1;1;1;1;0;0
1301232;1;11;0;0;1;2;1;0;1;1;2;2;1;0;0;0;0;0;0;0;0
1301233;2;17;0;1;1;2;1;1;1;0;2;2;0;2;0;1;0;1;2;0;0
1301234;2;12;0;0;0;2;0;1;0;0;2;2;1;2;0;0;1;1;0;0;0
1301235;1;17;1;1;1;1;1;1;1;0;2;1;1;2;1;1;1;1;0;0;0
1301236;1;13;0;1;1;2;1;1;1;1;2;0;0;0;0;0;0;1;2;0;0
1301237;1;13;0;1;1;2;1;1;0;0;2;2;0;2;1;0;0;0;0;0;0
1301238;1;13;1;1;1;2;1;0;1;0;1;0;0;2;1;0;1;1;0;0;0
1301239;2;12;0;1;0;2;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1
1301240;1;14;0;0;1;2;1;1;0;1;2;0;0;2;1;0;0;1;2;0;0
1301241;2;11;0;0;1;2;1;1;1;0;2;0;0;0;1;0;0;0;2;0;0
1301242;2;11;0;0;1;2;0;1;0;1;0;1;1;2;0;1;0;1;0;0;0
